用例ID,记忆类型,测试场景,实际操作步骤,预期结果,时间维度,优先级
D28,对话记忆,多轮模糊对话记忆提取,1. 发送：“我想买个东西，是电子产品”；2. 发送：“屏幕比较大，适合追剧”；3. 发送：“预算 3000 左右”；4. 询问：“我想买的电子产品有什么要求？”,整理回复 “屏幕大、适合追剧、预算 3000 左右”。,无时间限制（即时）,P1
T01,任务执行记忆,"任务创建与查询
",1. 发送指令：“帮我记着明天上午 10 点去银行办卡”；2. 询问：“我明天上午有什么安排？”,回复 “明天上午 10 点去银行办卡”，信息完整。,短期（24 小时内）,P0
T02,任务执行记忆,"任务修改与更新
",1. 发送：“记着周三下午 2 点培训”；2. 发送：“改成周三下午 4 点”；3. 询问：“周三培训时间？”,回复 “周三下午 4 点”，覆盖原时间。,中期（1-7 天）,P0
T03,任务执行记忆,多任务区分记忆,1. 发送：“任务 1：周五交方案；任务 2：周日约客户”；2. 询问：“周日的任务是什么？”,仅回复 “约客户”，不混淆任务 1。,中期（1-7 天）,P0
T04,任务执行记忆,任务取消记忆,1. 发送：“记着周四去超市买牛奶”；2. 发送：“取消周四买牛奶的任务”；3. 询问：“周四我要去超市买什么？”,回复 “你已取消该任务，暂无相关安排”。,短期（24 小时内）,P0
T05,任务执行记忆,任务进度记忆,1. 发送：“我正在写报告，进度 50%”；2. 2 小时后发送：“进度更新到 80%”；3. 询问：“报告进度是多少？”,回复 “80%”，记忆最新进度。,短期（2 小时内）,P1
T06,任务执行记忆,任务参与人记忆,1. 发送：“记着和张三、李四一起参加下周二的会议”；2. 询问：“下周二的会议和谁一起参加？”,回复 “张三、李四”，无遗漏。,中期（1-7 天）,P1
T07,任务执行记忆,任务冲突检测,1. 发送：“记着周五上午 9 点开会，下午 2 点见客户”；2. 发送：“周五上午 9 点安排体检”；3. 询问：“周五上午 9 点有什么安排？”,提示 “周五上午 9 点同时有开会和体检，存在冲突”。,中期（1-7 天）,P1
T08,任务执行记忆,重复任务（每周）记忆,1. 发送：“记着每周一提交周报”；2. 第 2 周询问：“我周一有什么固定任务？”,回复 “提交周报”，重复任务记忆有效。,长期（>7 天）,P1
T09,任务执行记忆,任务依赖记忆,1. 发送：“先完成项目调研，再写总结报告”；2. 询问：“写总结报告前要做什么？”,回复 “完成项目调研”，记忆依赖关系。,无时间限制（即时）,P1
T10,任务执行记忆,任务状态（完成）记忆,1. 发送：“我完成了今天的代码编写任务”；2. 询问：“今天的代码编写任务完成了吗？”,回复 “已完成”，状态记忆准确。,短期（24 小时内）,P1
T11,任务执行记忆,长文本多任务（含依赖）记忆,1. 发送长文本任务指令：“帮我记着以下工作任务：1. 完成项目 A 的需求文档（截止下周三，需先和产品经理确认核心功能，再参考竞品 B 的设计方案）；2. 组织团队周会（下周四下午 3 点，提前准备会议议程，通知张三、李四、王五参会，会议结束后 24 小时内发会议纪要）；3. 跟进测试环境部署（下周五前完成，部署前需协调运维团队检查服务器资源，部署后验证核心接口可用性）。注意任务 1 完成后再推进任务 3，避免依赖冲突。”；2. 3 天后询问：“我下周四的任务是什么？任务 3 的依赖条件是什么？”,清晰区分多任务，回复：“下周四下午 3 点组织团队周会（需准备议程、通知张三 / 李四 / 王五参会，会后 24 小时内发纪要）；任务 3 的依赖条件是完成任务 1（项目 A 的需求文档）”，任务关系和细节记忆准确。,中期（3 天内）,P1
T12,任务执行记忆,英文长文本多任务记忆,"1. 发送英文长文本任务：“Please remember my work tasks: 1. Finish the Q3 marketing plan (due July 5th, need to analyze market data of competitors first, then coordinate with the design team for poster production); 2. Schedule a video call with the US team (July 6th 9:00 AM EST, prepare meeting slides and send them to all participants 24 hours in advance); 3. Follow up on the product sample delivery (must be sent to the client before July 8th, confirm the logistics tracking number and update it to the project management tool). Note that Task 2 should be completed before Task 3.”；2. 4 days later, ask: “What's my task on July 6th? What's the prerequisite for Task 3?”","Clearly distinguish multiple tasks, reply: “On July 6th 9:00 AM EST, you need to schedule a video call with the US team (prepare slides and send them 24 hours in advance); the prerequisite for Task 3 is completing Task 2.” Task details and relationships are accurately remembered.",中期（4 天内）,P2
T13,任务执行记忆,跨月任务记忆,1. 发送：“6 月 15 日参加行业峰会”；2. 5 月 20 日询问 “6 月中旬安排是什么？”,回复 “参加行业峰会”,长期（>7 天）,P1
T14,任务执行记忆,批量任务导入记忆,1. 批量导入 5 条任务（含 “每周三团队周会”）；2. 询问“每周三固定任务是什么？”,回复 “团队周会”,长期（>7 天）,P1
T15,任务执行记忆,任务优先级记忆,1. 发送：“紧急任务：今天下班前提交设计稿”；2. 询问“紧急任务是什么？”,回复 “今天下班前提交设计稿”,短期（24 小时内）,P0
T16,任务执行记忆,任务备注信息记忆,1. 发送：“明天去超市（买牛奶、鸡蛋）”；2. 询问“明天超市购物明细是什么”,回复 “买牛奶、鸡蛋”,短期（24 小时内）,P1
T17,任务执行记忆,跨会话任务修改,1. 会话 1：“下周一面试”；2. 会话 2（次日）：“改成下周二”；3. 询问“面试时间是什么时候？”,回复 “下周二”,中期（1-7 天）,P1
T18,任务执行记忆,任务截止时间提醒记忆,1. 发送：“5 月 10 日交论文，提前 1 天提醒”；2. 5 月 9 日询问“是否有提醒？”,回复 “5 月 10 日交论文，需提前 1 天提醒”,中期（1-7 天）,P1
T19,任务执行记忆,已完成任务记忆回溯,1. 发送：“完成 3 月月度总结”；2. 4 月询问 “3 月已完成任务是什么？”,回复 “完成月度总结”,长期（>7 天）,P2
T20,任务执行记忆,任务分类记忆,1. 发送：“工作任务：写测试方案；生活任务：买绿植”；2. 询问“工作任务是什么？”,回复 “写测试方案”,无时间限制（长期留存）,P1
T21,任务执行记忆,临时任务自动清理记忆,1. 发送：“临时任务：今天下午取快递”；2. 次日询问“临时任务是什么？“,”提示 “临时任务已完成 / 过期，无记录”,短期（24 小时内）,P1
T22,任务执行记忆,任务关联文件记忆,1. 发送：“明天会议（附件：议程.docx）”；2. 询问“明天会议附件是什么？”,回复 “议程.docx”,短期（24 小时内）,P2
T23,任务执行记忆,多语言任务记忆（中日）,1. 发送日文任务：“明日 10 時に会議”；2. 询问“明日 10 点安排是什么”,中文回复 “开会”,短期（24 小时内）,P2
T24,任务执行记忆,任务冲突解决记忆,1. 发送：“周五下午 2 点开会、2 点半见客户”；2. 发送：“优先见客户”；3. 询问“周五下午 2 点安排的是什么？”,回复 “见客户（原会议已调整优先级）”,中期（1-7 天）,P1
T25,任务执行记忆,长期重复任务（每月）记忆,1. 发送：“每月 5 号交房租”；2. 第 2 个月询问“每月 5 号固定任务是什么”,回复 “交房租”,长期（>7 天）,P1
T26,任务执行记忆,任务删除后恢复记忆,1. 发送：“记着周三买水果”；2. 发送：“删除该任务”；3. 发送：“恢复刚才删除的任务”；4. 询问“周三有什么安排？”,回复 “买水果”,短期（24 小时内）,P2
U01,工具结果记忆,Tool 成功结果自动记忆,1. 发送：“查北京今日天气”；2. Tool 返回：“晴，10-22℃”；3. 再次询问：“北京今天天气怎么样？”,直接回复记忆结果，不重复调用 Tool。,短期（24 小时内）,P0
U02,工具结果记忆,多 Tool 结果区分记忆,1. 触发 Tool1：“查上海天气”→ 返回 “阴，15-20℃”；2. 触发 Tool2：“查广州天气”→ 返回 “雨，20-25℃”；3. 询问：“广州今天天气？”,仅回复广州天气，不混淆上海结果。,短期（24 小时内）,P0
U03,工具结果记忆,Tool 结果更新覆盖,1. 触发 Tool：“查 XX 航班状态”→ 返回 “准点”；2. 10 分钟后刷新→ 返回 “延误 1 小时”；3. 询问：“XX 航班状态？”,回复 “延误 1 小时”，覆盖旧结果。,短期（10 分钟内）,P0
U04,工具结果记忆,Tool 失败结果记忆,1. 触发 Tool：“查不存在的 XXX 数据”→ 返回 “暂无相关数据，调用失败”；2. 询问：“XXX 数据查到了吗？”,回复 “调用失败，暂无相关数据”，不重复调用。,无时间限制（即时）,P1
U05,工具结果记忆,Tool 长文本（200 字 +）结果提取,1. 触发 Tool：“生成产品复盘报告大纲”→ 返回 200 字以上大纲；2. 询问：“复盘报告大纲包含哪些核心章节？”,提取核心章节回复，无关键信息丢失。,短期（24 小时内）,P1
U06,工具结果记忆,Tool 异常（乱码）结果记忆,1. 触发 Tool：“查 XXX 数据”→ 返回乱码 “%￥#@”；2. 询问：“XXX 数据查到了吗？”,回复 “Tool 返回异常内容：%￥#@，无法识别”，如实记忆。,无时间限制（即时）,P2
U07,工具结果记忆,Tool 结果单位记忆与换算,1. 触发 Tool：“查我的体重”→ 返回 “65kg”；2. 询问：“我的体重是多少斤？”,先记忆原始单位，再换算回复 “130 斤”。,无时间限制（长期留存）,P1
U08,工具结果记忆,跨会话 Tool 结果召回（24 小时）,1. 会话 1：触发 Tool 查快递→ 返回 “预计明日送达”；2. 24 小时后会话 2：询问 “快递什么时候到？”,直接回复 “预计明日送达”，无需重新调用。,短期（24 小时内）,P1
U09,工具结果记忆,多 Tool 关联结果记忆,1. 触发 Tool1 查航班→ 返回 “周六 10 点起飞”；2. 触发 Tool2 查酒店→ 返回 “XX 酒店距离机场 2 公里”；3. 询问：“周六的航班时间和酒店距离？”,整合回复 “航班 10 点起飞，酒店距离机场 2 公里”。,短期（24 小时内）,P1
U10,工具结果记忆,Tool 结果有效期记忆,1. 触发 Tool 查油价→ 返回 “92# 汽油 7.5 元 / L（24 小时有效）”；2. 25 小时后询问：“92# 汽油价格？”,提示 “信息已过期，是否重新查询？”。,短期（24 小时内）,P0
U11,工具结果记忆,Tool 长文本（800 字 +）结果提取,1. 触发 Tool：“生成《2024 年 Q2 产品迭代复盘报告》大纲”；2. Tool 返回 800 字 + 长文本结果（含：一、迭代目标（1. 核心功能上线：用户登录模块优化、支付流程简化；2. 性能指标：接口响应时间≤300ms、崩溃率≤0.1%）；二、执行情况（1. 功能完成度：95%，登录模块延期 2 天；2. 性能达标：接口响应时间 280ms、崩溃率 0.08%）；三、问题总结（1. 需求变更频繁，导致迭代延期；2. 跨团队沟通效率低）；四、改进方案（1. 需求评审增加签字确认环节；2. 建立跨团队每日站会机制））；3. 询问：“Q2 产品迭代的核心功能和改进方案是什么？”,精准提取核心信息，回复：“核心功能：用户登录模块优化、支付流程简化；改进方案：1. 需求评审增加签字确认环节；2. 建立跨团队每日站会机制”，无关键章节遗漏，不冗余细节。,短期（24 小时内）,P1
U12,工具结果记忆,Tool 英文长文本结果提取,"1. Trigger Tool: “Generate an outline for the 2024 Q2 Sales Analysis Report (English version)”；2. Tool returns 800+ words English result (including: I. Sales Performance (1. Total Revenue: $5.2 million, up 15% YoY; 2. Key Markets: North America accounts for 60%, Europe 25%, Asia Pacific 15%); II. Top Selling Products (1. Product X: 30% of total sales; 2. Product Y: 25% of total sales); III. Challenges (1. Supply chain delays in March; 2. Increased competition in Europe); IV. Recommendations (1. Optimize supply chain with local suppliers; 2. Launch targeted marketing campaigns in Asia Pacific)）；3. Ask: “What's the total Q2 sales revenue? What recommendations are there for the Asia Pacific market?”","Precisely extract core info, reply: “The total Q2 sales revenue is $5.2 million (up 15% YoY); the recommendation for the Asia Pacific market is to launch targeted marketing campaigns.” No key section missing.",短期（24 小时内）,P2
U13,工具结果记忆,网页解析 Tool 结果记忆（3 天）,1. 发送指令：“帮我解析这个网页的核心内容：https://example.com/zh-cn/product-intro（假设 Tool 返回产品核心信息：名称 XX 智能手表，功能：心率监测、续航 7 天、防水 50 米，价格 1999 元）”；2. 3 天后询问：“XX 智能手表的续航和价格是多少？”,直接召回 Tool 解析结果，回复：“续航 7 天，价格 1999 元”，不重复调用 Tool，关键信息准确。,中期（3 天内）,P1
"S01
",Skill 编排记忆,"Skill 执行逻辑节点回溯
",1. 触发 “行程规划 Skill”：“帮我规划周末去杭州的行程”；2. Skill 执行：先查天气→ 再选景点→ 最后订酒店；3. 询问：“你刚才规划行程时先做了什么？”,回复 “先查询杭州周末天气”，逻辑节点记忆准确。,无时间限制（即时）,P1
S02,Skill 编排记忆,用户交互确认信息记忆,1. 触发 “行程规划 Skill”；2. Skill 询问：“优先选民宿还是酒店？”→ 回复 “民宿”；3. 询问：“我刚才选择的住宿类型是什么？”,回复 “民宿”，记忆交互确认信息。,短期（24 小时内）,P1
S03,Skill 编排记忆,多 Tool 协同过程记忆,1. 触发 “出差规划 Skill”：调用天气 Tool→ 航班 Tool→ 酒店 Tool；2. 询问：“出差规划时查了哪些信息？”,回复 “天气、航班、酒店信息”，协同过程清晰。,短期（24 小时内）,P1
S04,Skill 编排记忆,Skill 中断续跑记忆（1 小时）,1. 触发 “购物清单 Skill”：添加 “牛奶、面包”→ 中断；2. 1 小时后重新触发→ 询问 “是否继续之前的购物清单？”；3. 回复 “是”,自动加载 “牛奶、面包”，续跑无丢失。,短期（1 小时内）,P0
S05,Skill 编排记忆,Skill 结果更新记忆,1. 触发 “预算规划 Skill”→ 生成 1000 元预算；2. 调整需求后→ Skill 更新为 1500 元；3. 询问：“最新的预算金额是多少？”,回复 “1500 元”，记忆更新后结果。,无时间限制（即时）,P1
S06,Skill 编排记忆,Skill 依赖记忆回溯,1. 触发 “旅游规划 Skill”：因 “雨天” 推荐室内景点；2. 询问：“为什么推荐这些景点？”,回复 “因为查询到当地周末有雨，优先推荐室内景点”，依赖关系明确。,短期（24 小时内）,P1
S07,Skill 编排记忆,多 Skill 执行区分记忆,1. 触发 “日程管理 Skill”：添加 “周一开会”；2. 触发 “购物 Skill”：添加 “买水果”；3. 询问：“购物 Skill 里记了什么？”,仅回复 “买水果”，不混淆其他 Skill。,中期（1-7 天）,P1
S08,Skill 编排记忆,Skill 异常中断记忆,1. 触发 “报告生成 Skill”：执行中因网络中断失败；2. 重新触发→ 询问 “是否恢复之前的报告生成？”,支持恢复，记忆中断前的执行状态。,短期（24 小时内）,P2
S09,Skill 编排记忆,Skill 执行参数记忆,1. 触发 “机票预订 Skill”：输入 “北京→上海，下周五”；2. 询问：“我刚才预订机票的出发地和时间？”,回复 “出发地北京，时间下周五”，参数记忆准确。,中期（1-7 天）,P1
S10,Skill 编排记忆,跨会话 Skill 记忆回溯（72 小时）,1. 会话 1：触发 “行程规划 Skill” 生成杭州行程；2. 72 小时后会话 2：询问 “之前规划的杭州行程包含哪些景点？”,准确回复景点列表，跨会话回溯有效。,中期（3 天内）,P1
S11,Skill 编排记忆,中文长文本 Skill 配置记忆与续跑,1. 触发 “活动策划 Skill”，发送长文本需求：“策划一场线上产品发布会，目标用户是中小企业管理者，时间定在 6 月 15 日晚上 7 点 - 9 点，流程包括：1. 主持人开场（5 分钟）；2. 产品负责人讲解核心功能（30 分钟，重点突出成本节约、操作便捷性）；3. 客户案例分享（2 个案例，各 10 分钟）；4. 互动问答（20 分钟，提前收集用户疑问）；5. 福利发放（10 分钟，抽奖送年会员）。需要提前 10 天邀请嘉宾、制作宣传海报、在 3 个行业社群推广。”；2. Skill 执行到 “制作宣传海报” 步骤时中断；3. 2 小时后重新触发 Skill，询问：“继续之前的活动策划，接下来需要做什么？本次发布会的流程和目标用户是什么？”,记忆长文本配置和执行进度，回复：“接下来需要在 3 个行业社群推广；本次发布会目标用户是中小企业管理者，流程：主持人开场（5 分钟）→ 产品核心功能讲解（30 分钟）→ 客户案例分享（2 个，各 10 分钟）→ 互动问答（20 分钟）→ 福利发放（10 分钟）”，续跑无丢失，细节准确。,短期（2 小时内）,P1
S12,Skill 编排记忆,英文长文本 Skill 配置记忆与续跑,"1. Trigger “Event Planning Skill” and send English long text requirement: “Plan an international online seminar. The target audience is global tech entrepreneurs. The time is July 20th 2:00 PM - 4:30 PM GMT. The agenda includes: 1. Opening speech by the host (10 mins); 2. Keynote speech by Guest Speaker 1 (30 mins, focus on AI innovation); 3. Panel discussion with 3 experts (40 mins, topic: Digital Transformation Trends); 4. Q&A session (20 mins, accept questions via chat); 5. Closing remarks (10 mins). Need to do the following preparations: invite speakers 2 weeks in advance, create a multilingual registration page, promote on LinkedIn and Twitter, test the live streaming platform 3 days before the event.”；2. Skill pauses at the “promote on LinkedIn and Twitter” step；3. 3 hours later, re-trigger Skill and ask: “Continue the event planning, what should I do next? What's the agenda of the seminar?”","Remember long text configuration and progress, reply: “Next, you need to test the live streaming platform 3 days before the event; the seminar agenda: Opening speech (10 mins) → Keynote speech by Guest Speaker 1 (30 mins) → Panel discussion (40 mins) → Q&A session (20 mins) → Closing remarks (10 mins). The target audience is global tech entrepreneurs.” Resume without loss, accurate details.",短期（3 小时内）,P2
K01,知识注入记忆,主动结构化知识注入,1. 发送：“我的工号是 6688，部门是测试部”；2. 询问：“我的工号和部门是什么？”,回复 “工号 6688，部门测试部”，无错误。,无时间限制（长期留存）,P0
K02,知识注入记忆,知识纠错与更新,1. 发送：“我的手机号是 13800138000”；2. 发送：“纠正：手机号是 13900139000”；3. 询问：“我的手机号是多少？”,回复 “13900139000”，覆盖错误信息。,无时间限制（长期留存）,P0
K03,知识注入记忆,批量知识导入记忆,1. 发送：“批量导入我的信息：性别男，年龄 30，爱好钓鱼、爬山，邮箱 abc@123.com”；2. 询问：“我的爱好有哪些？”,回复 “钓鱼、爬山”，准确提取。,无时间限制（长期留存）,P1
K04,知识注入记忆,知识关联与联想,1. 发送：“我喜欢周杰伦的歌，最喜欢《七里香》”；2. 询问：“我最喜欢周杰伦的哪首歌？”,回复 “《七里香》”，关联记忆。,无时间限制（长期留存）,P1
K05,知识注入记忆,过期知识处理,1. 发送：“我的临时地址是 XX 小区（有效期到周日）”；2. 下周一询问：“我的临时地址是什么？”,回复 “该临时地址已过期，暂无有效地址”。,中期（1 周内）,P1
K06,知识注入记忆,知识删除记忆,1. 发送：“我的技能包括 Python、Java”；2. 发送：“删除技能中的 Java”；3. 询问：“我的技能有哪些？”,回复 “Python”，移除指定知识。,无时间限制（长期留存）,P0
K07,知识注入记忆,知识模糊表述记忆,1. 发送：“我大概 2020 年入职当前公司”；2. 询问：“我入职当前公司的时间？”,回复 “大概 2020 年”，保留模糊表述。,无时间限制（长期留存）,P1
K08,知识注入记忆,跨会话知识召回（7 天）,1. 第 1 天发送：“我的银行卡尾号是 8888”；2. 第 7 天询问：“我的银行卡尾号是多少？”,回复 “8888”，长期记忆有效。,中期（7 天）,P1
K09,知识注入记忆,知识冲突识别,1. 发送：“我家有 3 口人”；2. 发送：“我家有 4 口人”；3. 询问：“我家有几口人？”,提示 “你先后提到 3 口人和 4 口人，信息存在冲突”。,无时间限制（即时）,P1
K10,知识注入记忆,非结构化知识整合记忆,1. 发送：“我对咖啡的偏好：不加糖、加奶、避开美式，喜欢拿铁”；2. 询问：“我喜欢什么口味的咖啡？”,整理回复 “喜欢拿铁，不加糖、加奶，不喜欢美式”。,无时间限制（长期留存）,P1
K11,知识注入记忆,中文长文本结构化知识导入,1. 发送长文本知识注入：“批量导入我的个人职业信息：姓名张三，职位高级测试工程师，从业年限 8 年，擅长领域包括自动化测试（Selenium、Appium）、性能测试（JMeter、LoadRunner）、接口测试（Postman、Swagger），负责过的项目有：1. 电商平台测试（2022-2023 年，核心职责：制定测试计划、设计测试用例、搭建自动化框架）；2. 金融支付系统测试（2020-2022 年，核心职责：性能瓶颈分析、安全测试、回归测试），持有证书：软件测试工程师（高级）、ISTQB 认证，期望接下来学习 AI 测试和持续集成相关技术。”；2. 询问：“张三擅长哪些测试工具？负责过的电商平台项目的核心职责是什么？”,准确提取结构化信息，回复：“擅长的测试工具：Selenium、Appium、JMeter、LoadRunner、Postman、Swagger；电商平台项目核心职责：制定测试计划、设计测试用例、搭建自动化框架”，知识分类记忆清晰。,无时间限制（长期留存）,P1
